method,wf_type,wf_type2,state,energytotal,energytotal_err,n_0_up,n_0_up_err,n_0_down,n_0_down_err,n_1_up,n_1_up_err,n_1_down,n_1_down_err,n_2_up,n_2_up_err,n_2_down,n_2_down_err,n_3_up,n_3_up_err,n_3_down,n_3_down_err,n_4_up,n_4_up_err,n_4_down,n_4_down_err,n_le,n_le_err,n_he,n_he_err,trace,trace_err,trace_up,trace_up_err,trace_down,trace_down_err,doccp_0,doccp_0_err,doccp_1,doccp_1_err,doccp_2,doccp_2_err,doccp_3,doccp_3_err,doccp_4,doccp_4_err,doccp,doccp_err,sisj,sisj_err,Sz,Sz_err
dmc,eigenstates,spin,0,0.0,0.012170285488086494,0.6750332110644547,0.0008440108644632078,0.31343787570054377,0.0011460074138618312,0.6530429663163622,0.0007703348750830557,0.3287442271761481,0.0009314959073847611,0.008810359902745236,0.001502502489421045,0.0045059420295534,0.0015467490915624916,0.00852243114668403,0.001538091170820409,0.0022492163801709243,0.0015449778336881221,0.6356674115274435,0.000791389684230253,0.34305782118593303,0.0009652482580982876,2.948983512970885,0.002246060909519116,0.02408794945915359,0.0030663704015185724,2.973071462430039,0.0038009758021564683,1.9810763799576896,0.0025603331759517845,0.9919950824723494,0.002809290137507989,0.006818680580170853,0.002521472174022732,0.005952983292848374,0.0015761454630919536,0.005995978009049365,0.006492785515851539,-0.0038596997226423417,0.006465185705285117,0.005872903775400645,0.0016058028017179044,0.020780845934826896,0.00976604060210052,3.6420499231720225,0.020413971235770104,0.4945406487426701,0.0019004879010782341
dmc,eigenstates,spin,1,1.2295832789523047,0.02105433890544013,0.9799826782639947,0.0005095840673172856,0.005161211297685272,0.001420167740079277,0.48950660394522383,0.0009447347982134142,0.49813018630675954,0.0009382149222916205,0.004302155443468897,0.0016443247087583243,0.004449815198924501,0.0017496542269481443,0.002375326260071772,0.0017305063877975143,0.0019574976994186782,0.0016879641425862851,0.4987770627357381,0.0009728920678504652,0.4835943400204775,0.0009460150253938628,2.955152082569879,0.0024270943152149703,0.013084794601883849,0.0034071937084022255,2.968236877171763,0.004183270942877658,1.9749438266484973,0.0027923421785924574,0.9932930505232656,0.0031148966177351797,0.0016156257550860587,0.0018579898957851268,0.006718734223395324,0.0016462264744862868,0.002944347464872925,0.007230524807802461,0.010204354426881328,0.0065226587949788655,0.0073827483970514175,0.0017423420386634852,0.028865810267287052,0.010199191663548398,0.7821814735429424,0.02101540344399415,0.4908253880626159,0.002091635471438829
dmc,eigenstates,spin,2,1.1755603024089396,0.021172429120078308,0.9803191103530277,0.0005060682885602202,0.006844401383829763,0.0014257050429209786,0.4979247237932917,0.0009789892477751686,0.4939045560586829,0.0009924274404481785,0.004417548613290001,0.0016592106015616227,0.003935023806952778,0.001704739646215395,0.004335291253458445,0.0016773522921023703,0.006300252706612492,0.0016795126166110005,0.4913701656210659,0.0009725682774174401,0.49095936468369805,0.0009738825595987128,2.9613223218935962,0.0024751582672709557,0.018988116380313717,0.0033605640036889163,2.98031043827391,0.0041737032562137715,1.9783668396341336,0.002779731038489146,1.001943598639776,0.003113341327993044,0.004343968263184837,0.0017197204200979253,0.47925276959199614,0.0027041400228039747,-0.005552266802790035,0.007055113206976138,0.0017546520125725962,0.0069215984636158785,0.46999962055611166,0.003998201361423063,0.9497987436210752,0.01113277024677578,0.812190620400306,0.01913968805710699,0.4882116204971788,0.0020868516281068858
dmc,eigenstates,charge,3,1.8667063993766533,0.02166785726357741,0.30656181809127,0.0013626411751222812,0.15601893935667976,0.0015226492421624167,0.5079634908365287,0.0009675594827668132,0.2611212069667635,0.00115903208977596,0.15300329127212092,0.0016291414177548225,0.07594747367715037,0.00163796973235837,0.5072964747162296,0.0013247658969889778,0.25533754945592463,0.0015590389127989766,0.5069807126904934,0.0010024543149609682,0.2543343155253606,0.001206084036211672,1.9929804834670959,0.0029856878237028276,0.9915847891214256,0.0030858797151886476,2.9845652725885214,0.004293831086246884,1.9818057876066426,0.002864783311052283,1.0027594849818788,0.0031984374275474603,-0.0017579015607405452,0.004003908677327521,0.002764954146324385,0.0028431098201572814,-0.001107897393536025,0.006591428531999488,0.0069913668808798245,0.0039344968789081424,0.006241877439585047,0.0036588367293799526,0.013132399512512686,0.009819818742762413,3.6427901947560013,0.020878467016759536,0.4895231513123819,0.002146915543123442
dmc,eigenstates,charge,4,1.8559327795283025,0.0220887113303232,0.3057934846717796,0.0015551065691795873,0.15953213485375348,0.0016350277577428848,0.5085264928153149,0.0011283584880075854,0.256860434353707,0.0013055618275513371,0.5077131038384619,0.0014700415276644224,0.2549951233493603,0.0017421034993163858,0.1528722227438996,0.0019641511089252117,0.07647870105342278,0.0019370735105584155,0.5082348083955223,0.001131862944120631,0.255464480922106,0.0014443158492603834,1.9944118360121834,0.0033817922422602117,0.9920591509851447,0.003578559774460612,2.986470986997328,0.00492367838401321,1.9831401124649783,0.003315354387541064,1.0033308745323495,0.003640196988380046,-9.507650843985829e-05,0.0039596134644798425,0.0055725068488661125,0.002615675374820161,0.0172440715679445,0.004667277683655,0.007882062056889273,0.007789000524243032,0.008402302484178246,0.002638133278761629,0.03900586644943828,0.010579794600749223,3.6157011045040877,0.020558980420811886,0.48990461896631443,0.002461839192006605
dmc,eigenstates,spin,5,1.321323121210753,0.021916266598780747,0.7577283966699122,0.0010562558391237137,0.7538488037153903,0.0009954018823749302,0.9735765737458565,0.0005680228961103108,0.007875038452112057,0.001362034116543882,0.010042269010378396,0.0018029377288723918,0.00016797619500714955,0.0018100020107576936,0.007672817047201248,0.0018718720286537104,0.00151238725961763,0.0018706364775565901,0.22726373201934935,0.0013047826617242863,0.22852818667221084,0.001346213075183287,2.9488207312748314,0.0027926753639448084,0.019395449512204423,0.003678298173878773,2.968216180787036,0.004618323629234334,1.9762837884926978,0.003145675372375938,0.991932392294338,0.003381366527895444,0.7356202693812566,0.0025110847589326197,0.005591822778376467,0.0018586759189852219,0.021043697691213285,0.010683674466064955,0.0061796634653348784,0.007592438733522171,0.21372714612594457,0.0038280701416397913,0.9821625994421257,0.014007154238702786,0.7855027524994556,0.02328143135361489,0.4921756980991799,0.002309161814617167
dmc,eigenstates,spin,6,1.3020286997225412,0.022025953955122118,0.7548106905501771,0.0008983235144990911,0.7520325643247499,0.0010547621019859588,0.2299578911183039,0.0012084192879468535,0.2298966439203686,0.0011958473596327473,0.009116755626023702,0.0018076294475472968,0.000648959336644734,0.0018051518003732157,0.012705392564573538,0.0018163449858752266,0.009332329356186397,0.001839462028331969,0.9741454808491541,0.000547951275927703,0.005701193552679819,0.0012918049065766117,2.9465444643154335,0.0026036218675062318,0.031803436883428376,0.0036343949845084322,2.9783479011988616,0.004470757623980155,1.9807362107082322,0.003022275010704519,0.9976116904906295,0.0032944692276674374,0.742997496276648,0.002420878859456059,0.2167107125605565,0.0045646025915427844,0.02097953124796685,0.007263790872905853,-0.0022063761530753444,0.009307632196103137,0.005704502578445446,0.0017388788169873525,0.9841858665105414,0.013004407935553767,0.7593832448765869,0.022208590308429463,0.4915622601088014,0.0022353788119900777
dmc,eigenstates,charge,7,2.025997910231581,0.02150431747179133,0.6553822327441976,0.0008752781445020958,0.33134522151018825,0.0010673091896211545,0.3303418958813707,0.000973361471603126,0.16810549752856022,0.001063251025046535,0.3294392175433022,0.0012629902476262744,0.1636444676708114,0.0014024706640049982,0.3326185056611669,0.0012479481384682373,0.1660286280121224,0.0013932055452956463,0.3317133313291381,0.0009366732676997579,0.16920634682949526,0.0010244091691903065,1.98609452582295,0.0024310423668667774,0.9917308188874029,0.0026571534725609238,2.977825344710353,0.0036014485372199614,1.9794951831591754,0.002396543368473267,0.9983301615511775,0.002688310147522158,0.005469956787572335,0.0025317245534556393,0.003772428425245489,0.002790639024219575,0.007943114771562053,0.004534954038109906,0.009684935048097941,0.0052286325969722915,0.002520041327857247,0.002560614848013418,0.029390476360335066,0.008286039508705269,3.634475301396201,0.017331898615358395,0.49058251080399895,0.0018007242686099807
dmc,eigenstates,charge,8,2.089255504612538,0.02165479515265571,0.6565635804590754,0.0011343668169512986,0.3360852081651124,0.0015441420584146712,0.3306064553186443,0.001305726431839737,0.17099116597842764,0.0014047367400465524,0.32934186546454725,0.0016363299166536314,0.16422301093955882,0.0018410784114834796,0.3333457020582341,0.0016781896001391609,0.16602830816182593,0.00187345108485138,0.3328648669351856,0.001213022572433526,0.16904893129827434,0.0013603871975279313,1.9961602081547196,0.0032667180294659675,0.9929388866241661,0.003520409722562455,2.9890990947788856,0.004802575486002305,1.9827224702356867,0.0031554760784371855,1.006376624543199,0.0036204560509914985,0.004077316337253554,0.00243743648352134,-0.004681087909873574,0.003541087228360715,0.0015109548328731811,0.006249608971612717,0.0018054966794588323,0.0066557921469331685,0.0018929410094989316,0.0032703292380659526,0.0046056209492109255,0.010608139803785048,3.668548962982637,0.025058653483022688,0.4881729228462438,0.0024012877430011526
dmc,eigenstates,spin,9,1.4420781017893205,0.022660453757318785,0.9832170594079105,0.00044633656572003536,0.00028380286011634066,0.0012503471691594325,0.47659355923661945,0.0008250252963242981,0.4753667318361144,0.000833920108820559,0.019178019930469078,0.0017503531229747773,0.016593481612250337,0.0016547332081555703,0.019775390332899292,0.0014187086820252389,0.02009366558452698,0.0014361018288488656,0.47852477529122805,0.0008932725694634017,0.4764507038249969,0.0008571278158105367,2.8904366324569852,0.002161313914447862,0.07564055746014568,0.0031427696117528607,2.966077189917131,0.0038142205847778612,1.9772888041991261,0.002598901562658895,0.988788385718005,0.0027917717200645763,0.0022291888084670954,0.0014533701803204275,0.458709878817969,0.002504958833699558,0.024117898774866624,0.007506264067557292,0.011695947368266915,0.0066996819207309185,0.46742993035354086,0.0027693427327500765,0.9641828441231105,0.010829870770322249,0.7892090903128104,0.017781609905270734,0.49425020924056057,0.0019071102923889306
